Ticker,fundsmith-2019_q3,fundsmith-2021_q4,fundsmith-2019_q4,fundsmith-2021_q1,fundsmith-2021_q3,fundsmith-2021_q2,fundsmith-2020_q4,fundsmith-2020_q2,fundsmith-2020_q3,fundsmith-2020_q1
MSFT,1,1,1,1,1,1,1,1,1,1
PYPL,1,1,1,1,1,1,1,1,1,1
EL,1,1,1,1,1,1,1,1,1,1
SYK,1,1,1,1,1,1,1,1,1,1
PM,1,1,1,1,1,1,1,1,1,1
INTU,1,1,1,1,1,1,1,1,1,1
IDXX,1,1,1,1,1,1,1,1,1,1
FB,1,1,1,1,1,1,1,1,1,1
WAT,1,1,1,1,1,1,1,1,1,1
MKC,1,1,1,1,1,1,1,1,1,1
PEP,1,1,1,1,1,1,1,1,1,1
V,1,1,1,1,1,1,1,1,1,1
ADP,1,1,1,1,1,1,1,1,1,1
BDX,1,0,1,1,1,1,1,1,1,1
JNJ,1,1,1,1,1,1,1,1,1,1
BF.B,1,1,1,1,1,1,1,1,1,1
EFX,1,1,1,1,1,1,1,1,1,1
MASI,1,1,1,1,1,1,1,1,1,1
VRSK,1,1,1,1,1,1,1,1,1,1
SABR,1,1,1,1,1,1,1,1,1,1
CHKP,1,0,1,0,1,0,1,1,1,1
ANSS,1,1,1,1,1,1,1,1,1,1
CGNX,1,1,1,1,1,1,1,1,1,1
IPGP,1,1,1,1,1,1,1,1,1,1
VRSN,1,1,1,1,1,1,1,1,1,1
MSCI,1,1,1,1,1,1,1,1,1,1
AOS,1,1,1,1,1,1,1,1,1,1
PAYC,1,1,1,1,1,1,1,1,1,1
MAR,1,0,1,1,1,1,1,1,1,1
CHD,1,1,1,1,1,1,1,0,0,0
MELI,1,1,1,1,1,1,1,1,1,1
MMM,1,0,0,0,1,0,0,0,0,0
CDK,1,0,0,0,1,0,0,0,0,0
NKE,0,1,0,1,0,1,1,1,1,1
AMZN,0,1,0,0,0,0,0,0,0,0
SBUX,0,1,0,1,0,1,1,1,1,1
GOOGL,0,1,0,0,0,0,0,0,0,0
FTNT,0,1,0,1,0,1,1,0,1,0
QLYS,0,1,0,1,0,1,1,1,1,0
WING,0,1,0,1,0,1,0,0,0,0
ROL,0,1,0,1,0,1,0,0,0,0
HD,0,1,0,1,0,1,0,0,0,0
ZTS,0,1,0,1,0,1,1,0,0,0
PG,0,1,0,1,0,1,1,0,0,0
TSM,0,1,0,1,0,1,1,0,0,0
WNS,0,1,0,0,0,1,0,0,0,0
G,0,1,0,0,0,0,0,0,0,0
CL,0,1,0,1,0,1,1,0,1,0
XP,0,1,0,1,0,1,1,1,1,1
CLX,0,0,1,0,0,0,0,1,0,1
